OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2010-006A","INTELSAT 16","36397","ITSO","1436.09","0.01","35795","35778","LARGE","0","2010-02-12",""
"2010-005B","ATLAS 5 CENTAUR R/B","36396","US","629.23","28.56","33530","2361","LARGE","0","2010-02-11",""
"2010-005A","SDO","36395","US","1436.09","28.95","35793","35780","LARGE","0","2010-02-11",""
"1997-051VU","IRIDIUM 33 DEB","36390","US","99.33","86.31","760","694","SMALL","0","1997-09-14",""
"1993-036AZR","COSMOS 2251 DEB","36388","CIS","98.66","73.98","803","586","SMALL","0","1993-06-16",""
"1993-036AZQ","COSMOS 2251 DEB","36387","CIS","100.10","74.00","804","722","SMALL","0","1993-06-16",""
"1993-036AZN","COSMOS 2251 DEB","36385","CIS","100.06","73.99","920","603","SMALL","0","1993-06-16",""
"1993-036AZM","COSMOS 2251 DEB","36384","CIS","99.29","74.03","737","712","SMALL","0","1993-06-16",""
"1993-036AZL","COSMOS 2251 DEB","36383","CIS","100.21","73.82","890","646","SMALL","0","1993-06-16",""
"1993-036AZJ","COSMOS 2251 DEB","36381","CIS","100.02","74.02","797","721","SMALL","0","1993-06-16",""
"1993-036AZH","COSMOS 2251 DEB","36380","CIS","94.84","73.98","514","508","SMALL","0","1993-06-16",""
"1993-036AZG","COSMOS 2251 DEB","36379","CIS","100.54","74.01","819","750","SMALL","0","1993-06-16",""
"1993-036AZF","COSMOS 2251 DEB","36378","CIS","96.97","74.06","673","555","SMALL","0","1993-06-16",""
"1993-036AZC","COSMOS 2251 DEB","36375","CIS","98.63","74.05","703","683","SMALL","0","1993-06-16",""
"1993-036AYZ","COSMOS 2251 DEB","36372","CIS","99.86","74.01","786","718","SMALL","0","1993-06-16",""
"1993-036AYY","COSMOS 2251 DEB","36371","CIS","99.97","74.03","774","740","SMALL","0","1993-06-16",""
"1993-036AYW","COSMOS 2251 DEB","36369","CIS","99.58","74.04","758","719","SMALL","0","1993-06-16",""
"1993-036AYV","COSMOS 2251 DEB","36368","CIS","101.91","74.16","963","735","SMALL","0","1993-06-16",""
"1993-036AYU","COSMOS 2251 DEB","36367","CIS","104.49","74.09","1179","762","SMALL","0","1993-06-16",""
"1993-036AYT","COSMOS 2251 DEB","36366","CIS","101.68","74.07","919","757","SMALL","0","1993-06-16",""
"2006-015J","YAOGAN 1 DEB","36365","PRC","96.85","98.01","626","590","LARGE","0","2006-04-26",""
"2010-002C","BREEZE-M DEB (TANK)","36360","CIS","613.04","46.06","34460","594","LARGE","0","2010-01-28",""
"2010-002B","BREEZE-M R/B","36359","CIS","1384.07","5.63","35651","33873","LARGE","0","2010-01-28",""
"2010-002A","RADUGA 1M-2","36358","CIS","1436.09","0.02","35795","35778","LARGE","0","2010-01-28",""
"1982-025AT","METEOR 2-8 DEB","36357","CIS","102.51","82.54","889","866","SMALL","0","1982-03-25",""
"1982-025AS","METEOR 2-8 DEB","36356","CIS","102.12","82.52","870","848","SMALL","0","1982-03-25",""
"1982-025AR","METEOR 2-8 DEB","36355","CIS","102.01","82.52","868","840","SMALL","0","1982-03-25",""
"1982-025AQ","METEOR 2-8 DEB","36354","CIS","102.22","82.51","870","858","SMALL","0","1982-03-25",""
"1982-025AP","METEOR 2-8 DEB","36353","CIS","102.54","82.54","885","873","SMALL","0","1982-03-25",""
"1982-025AN","METEOR 2-8 DEB","36352","CIS","100.91","82.53","817","787","SMALL","0","1982-03-25",""
"1982-025AM","METEOR 2-8 DEB","36351","CIS","102.31","82.54","874","862","SMALL","0","1982-03-25",""
"1982-025AL","METEOR 2-8 DEB","36350","CIS","101.97","82.53","862","842","SMALL","0","1982-03-25",""
"1982-025AK","METEOR 2-8 DEB","36349","CIS","101.84","82.52","855","836","SMALL","0","1982-03-25",""
"1982-025AJ","METEOR 2-8 DEB","36348","CIS","101.93","82.49","855","846","SMALL","0","1982-03-25",""
"1982-025AH","METEOR 2-8 DEB","36347","CIS","102.92","82.54","902","892","SMALL","0","1982-03-25",""
"1982-025AG","METEOR 2-8 DEB","36346","CIS","101.93","82.53","859","841","SMALL","0","1982-03-25",""
"1982-025AF","METEOR 2-8 DEB","36345","CIS","102.23","82.53","879","850","SMALL","0","1982-03-25",""
"1982-025AE","METEOR 2-8 DEB","36344","CIS","100.96","82.52","824","784","SMALL","0","1982-03-25",""
"1982-025AD","METEOR 2-8 DEB","36343","CIS","102.30","82.52","877","858","SMALL","0","1982-03-25",""
"1982-025AC","METEOR 2-8 DEB","36342","CIS","102.56","82.54","897","862","SMALL","0","1982-03-25",""
"1982-025AB","METEOR 2-8 DEB","36341","CIS","102.19","82.53","874","851","SMALL","0","1982-03-25",""
"1982-025AA","METEOR 2-8 DEB","36340","CIS","101.40","82.53","844","805","SMALL","0","1982-03-25",""
"1982-025Z","METEOR 2-8 DEB","36339","CIS","100.25","82.52","775","766","SMALL","0","1982-03-25",""
"1982-025Y","METEOR 2-8 DEB","36338","CIS","101.99","82.53","863","843","SMALL","0","1982-03-25",""
"1982-025X","METEOR 2-8 DEB","36337","CIS","102.55","82.53","895","864","SMALL","0","1982-03-25",""
"1982-025W","METEOR 2-8 DEB","36336","CIS","102.55","82.54","886","873","SMALL","0","1982-03-25",""
"1982-025V","METEOR 2-8 DEB","36335","CIS","102.02","82.51","867","841","SMALL","0","1982-03-25",""
"1982-025U","METEOR 2-8 DEB","36334","CIS","102.13","82.51","877","842","SMALL","0","1982-03-25",""
"1982-025T","METEOR 2-8 DEB","36333","CIS","101.73","82.52","848","833","SMALL","0","1982-03-25",""
"1982-025S","METEOR 2-8 DEB","36332","CIS","102.82","82.53","897","886","SMALL","0","1982-03-25",""
"1982-025R","METEOR 2-8 DEB","36331","CIS","102.14","82.53","870","850","SMALL","0","1982-03-25",""
"1982-025Q","METEOR 2-8 DEB","36330","CIS","102.10","82.54","861","855","SMALL","0","1982-03-25",""
"1982-025P","METEOR 2-8 DEB","36329","CIS","101.82","82.51","855","835","SMALL","0","1982-03-25",""
"1982-025N","METEOR 2-8 DEB","36328","CIS","102.48","82.53","892","860","SMALL","0","1982-03-25",""
"1982-025M","METEOR 2-8 DEB","36327","CIS","102.60","82.51","887","877","SMALL","0","1982-03-25",""
"1982-025L","METEOR 2-8 DEB","36326","CIS","102.50","82.53","897","857","SMALL","0","1982-03-25",""
"1982-025K","METEOR 2-8 DEB","36325","CIS","102.40","82.54","889","856","SMALL","0","1982-03-25",""
"1982-025J","METEOR 2-8 DEB","36324","CIS","102.61","82.52","894","870","SMALL","0","1982-03-25",""
"1982-025H","METEOR 2-8 DEB","36323","CIS","102.27","82.54","873","860","SMALL","0","1982-03-25",""
"1982-025G","METEOR 2-8 DEB","36322","CIS","101.94","82.53","866","835","SMALL","0","1982-03-25",""
"1982-025F","METEOR 2-8 DEB","36321","CIS","102.19","82.53","875","850","SMALL","0","1982-03-25",""
"1982-025E","METEOR 2-8 DEB","36320","CIS","101.84","82.51","850","842","SMALL","0","1982-03-25",""
"1982-025D","METEOR 2-8 DEB","36319","CIS","102.01","82.54","867","841","SMALL","0","1982-03-25",""
